movie_id,movie_name,year,genre,director,cast
tt9052870,Chhichhore,2019,"Comedy, Drama, Romance",Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar"
tt15145764,Freddy,2022,"Drama, Mystery, Romance",Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
tt2178470,Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical",Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
tt7142506,Sir,2018,"Drama, Romance",Rohena Gera,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra"
tt14295590,Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta"
tt0374887,Munna Bhai M.B.B.S.,2003,"Comedy, Drama",Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
tt3495026,Fan,2016,"Action, Drama, Thriller",Maneesh Sharma,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza"
tt28540171,Welcome to the Jungle,2024, ,Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez"
tt6148156,Vikram Vedha,2017,"Action, Crime, Drama","Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir"
tt0169102,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
tt28282716,Trial Period,2023,"Comedy, Drama",Aleya Sen,"Genelia Deshmukh, Manav Kaul, Shakti Kapoor, Sheeba Chaddha"
tt18413766,Kathal: A Jackfruit Mystery,2023,"Comedy, Crime, Drama",Yashowardhan Mishra,"Sanya Malhotra, Joshi Anantvijay, Vijay Raaz, Rajpal Naurang Yadav"
tt10280296,Sardar Udham,2021,"Biography, Crime, Drama",Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
