imdbId,title,releaseYear,genre,actors,directors
tt3619772,Hate Story 2,2014,Drama | Romance | Thriller,Sushant Singh | Surveen Chawla | Jay Bhanushali | Siddharth Kher,Vishal Pandya
tt3619854,Creature,2014,Horror | Sci-Fi,Bipasha Basu | Imran Abbas | Mukul Dev | Deepraj Rana,Vikram Bhatt
tt3636776,Samrat & Co.,2014,Mystery,Ramgopal Bajaj | Ajay Bhandari | Barkha Bisht | Priyanshu Chatterjee,Kaushik Ghatak
tt3640942,Koyelaanchal,2014,Action | Drama,Kannan Arunachalam | Vinod Khanna | Roopali Krishnarao | Sunil Shetty,Ashu Trikha
tt3645014,The Xpose,2014,Thriller,Himesh Reshammiya | Yo Yo Honey Singh | Irrfan Khan | Zoya Afroz,Anant Mahadevan
tt3672618,Dekh Tamasha Dekh,2014,Comedy,Satish Kaushik | Tanvi Azmi | Vinay Jain | Sharad Ponkshe,Feroz Abbas Khan
tt3678938,Humpty Sharma Ki Dulhania,2014,Comedy | Drama | Romance,Varun Dhawan | Alia Bhatt | Sidharth Shukla | Ashutosh Rana,Shashank Khaitan
tt3681414,Purani Jeans,2014,Drama,Rati Agnihotri | Param Baidwaan | Kashika Chopra | Sammy Durrani,Tanushri Chattrji Bassu
tt3683702,Fugly,2014,Drama | Thriller,Jimmy Shergill | Mohit Marwah | Kiara Advani | Vijender Singh,Kabir Sadanand
tt3709344,CityLights,2014,Drama | Thriller,Rajkummar Rao | Mallhar Goenka | Manav Kaul | Patralekhaa,Hansal Mehta
tt3716142,Lekar Hum Deewana Dil,2014,Comedy | Romance,Armaan Jain | Deeksha Seth | Nikita Dutta | Rohini Hattangadi,Arif Ali
tt3720634,3 AM: A Paranormal Experience,2014,Horror | Romance,Salil Acharya | Kavin Dave | Anindita Nayar | Rannvijay Singh,Vishal Mahadkar
tt3748000,Bollywood Villa,2014,Thriller,Sonam Arora | Arun Bakshi | Piyush Bhalodiya | Deepak Bhatia,Chandersen Singh
tt3794302,Pizza,2014,Horror | Thriller,Akshay Oberoi | Parvathy Omanakuttan | Dipannita Sharma | Arunoday Singh,Akshay Akkineni
tt3814100,M.A.D: Mad About Dance,2014,Drama | Musical,Saahil Prem | Amrit Maghera | Salah Benlemqawanssa | Akilesh Unnitan,Saahil Prem
tt3822600,Amit Sahni Ki List,2014,Comedy | Romance,Vir Das | Anindita Nayar | Natasha Rastogi | Kavi Shastri,Ajay Bhuyan
tt3847072,Ekkees Toppon Ki Salaami,2014,Comedy,Anupam Kher | Neha Dhupia | Divyendu Sharma | Manu Rishi Chadha,Ravindra Gautam
tt3848888,The Shaukeens,2014,Comedy,Akshay Kumar | Lisa Haydon | Rati Agnihotri | Cyrus Broacha,Abhishek Sharma
tt3877652,Desi Kattey,2014,Action,Rajesh Bakshi | Jay Bhanushali | Claudia Ciesla | Akhil Kapur,Anand Kumar
tt3881136,Life Is Beautiful,2014,Comedy | Romance,Manoj Amarnani | Nancy Brunetta | Anokhi Dalvi | Parth Naik,Manoj Amarnani
tt3893476,Spark,2014,Action,Rati Agnihotri | Mansha Bahl | Rajneesh Duggal | Shubhashree Ganguli,V.K. Singh
tt4010306,Jigariyaa,2014,Drama,Deepak Chadha | Harshvardhan Deo | Sneha Deori | Vineeta Malik,Raj Purohit
tt4045666,Mumbai Delhi Mumbai,2014,Comedy | Romance,Shiv Pandit | Piaa Bajpai,Satish Rajwade
tt4119196,Love U Crazy Girl,2014,Mystery,Mohan Joshi | Shakti Kapoor | Nitika Sharma | Aryan Vaid,Bhabhani Prasad
tt4121522,Shuruaat Ka Interval,2014,N/A,Kaivalya Chheda | Rajsekhar Aningi | Avidant Bhagat | Bramha,Aarti S. Bagdi | Amrit Raj Gupta | Krishan Hooda | Shishir Jha | Atanu Mukherjee | Rukshana Tabassum | Ankit Tripathi | Palash Vaswani
tt4187650,Trip to Bhangarh,2014,Horror,Manish Choudhary | Suzanna Mukherjee | Poonam Pandey,Jitendra Pawar
tt4190220,Zed Plus,2014,N/A,Adil Hussain | Ekavali Khanna | Kulbhushan Kharbanda | Sanjay Mishra,Chandra Prakash Dwivedi
tt4219300,Gollu aur Pappu,2014,Comedy,Vir Das | Sandeepa Dhar | Rahul Handa | Dimple Kapadia,Kabir Sadanand
tt4228746,Zid,2014,Thriller,Shradha Das | Mohan Kapoor | Mannara | Karanvir Sharma,Rohit Malhotra | Anubhav Sinha
